v,u,w,p
12.3479,-1.85891,0.0344629,-548.002
12.3442,-1.85899,0.0344238,-547.956
12.3406,-1.85903,0.0343886,-547.877
12.339,-1.85902,0.0343476,-547.752
12.3369,-1.85902,0.0343015,-547.627
12.3344,-1.85897,0.0342592,-547.456
12.3318,-1.85891,0.0342103,-547.456
12.3289,-1.85882,0.0341637,-547.252
12.3258,-1.85872,0.0341064,-547.12
12.3227,-1.85859,0.0340564,-547.12
12.3194,-1.85842,0.0339938,-546.956
12.316,-1.85824,0.0339398,-546.823
12.3126,-1.85801,0.033879,-546.659
12.3091,-1.85772,0.0338208,-546.573
12.3056,-1.85748,0.0337545,-546.495
12.3021,-1.85716,0.0336879,-546.37
12.2985,-1.8568,0.0336204,-546.245
12.295,-1.85637,0.0334692,-546.159
12.2915,-1.85592,0.0332635,-546.073
12.288,-1.85543,0.0330293,-545.909
12.2845,-1.85514,0.0327712,-545.737
12.281,-1.85507,0.0324984,-545.573
12.2776,-1.85498,0.032202,-545.487
12.2742,-1.85484,0.0318873,-545.362
12.2708,-1.85467,0.0315804,-545.276
12.2676,-1.85445,0.0312576,-545.19
12.2643,-1.85417,0.0309304,-545.026
12.2611,-1.85384,0.0305816,-544.862
12.258,-1.8535,0.0302609,-544.807
12.255,-1.85309,0.0299225,-544.729
12.252,-1.85258,0.0295954,-544.557
12.2491,-1.85202,0.0294719,-544.44
12.2463,-1.85145,0.0294419,-544.354
12.2435,-1.8508,0.0293926,-544.229
12.2408,-1.85013,0.0293263,-544.057
12.2382,-1.84939,0.0292109,-543.979
12.2357,-1.84859,0.0294186,-543.807
12.2333,-1.84775,0.0298131,-543.729
12.2309,-1.84682,0.0302208,-543.674
12.2286,-1.84586,0.0305859,-543.51
12.2264,-1.84483,0.0309566,-543.346
12.2242,-1.84378,0.031332,-543.221
12.2221,-1.84266,0.0316744,-543.143
12.2201,-1.8415,0.0320195,-543.057
12.2182,-1.84027,0.0323391,-542.924
12.2163,-1.83897,0.0326589,-542.799
12.2145,-1.8376,0.0333589,-542.713
12.2127,-1.83622,0.0334987,-542.51
12.211,-1.83478,0.0336104,-542.463
12.2094,-1.83332,0.0336428,-542.424
12.2078,-1.83177,0.033532,-542.26
12.2063,-1.83023,0.0332494,-542.127
12.2048,-1.82868,0.0329334,-542.041
12.2034,-1.82702,0.0329152,-541.877
12.202,-1.82536,0.033264,-541.791
12.2007,-1.82363,0.0335949,-541.495
12.1994,-1.82188,0.0339259,-541.713
12.1982,-1.82014,0.0342613,-541.416
12.197,-1.81842,0.0343978,-541.331
12.1959,-1.81655,0.0344862,-541.213
12.1947,-1.81494,0.0344258,-541.291
12.1937,-1.81361,0.0342945,-541.081
12.1926,-1.81227,0.0338359,-540.831
12.1916,-1.81246,0.0331905,-540.745
12.1906,-1.81334,0.0323659,-540.698
12.1897,-1.81419,0.0315103,-540.698
12.1887,-1.8151,0.0312836,-540.581
12.1878,-1.8165,0.031338,-540.448
12.187,-1.81785,0.0314383,-540.198
12.1862,-1.81928,0.0313317,-540.198
12.1854,-1.82062,0.0312741,-540.112
12.1847,-1.82194,0.0310054,-540.081
12.184,-1.82318,0.0305593,-539.862
12.1834,-1.82441,0.0299203,-539.729
12.1827,-1.82556,0.0296297,-539.651
12.1821,-1.82677,0.0293069,-539.612
12.1815,-1.82795,0.0290264,-539.229
12.1809,-1.82904,0.0286863,-539.026
12.1803,-1.83018,0.0283083,-539.112
12.1797,-1.83124,0.0281996,-538.901
12.1791,-1.83228,0.0279401,-539.229
12.1785,-1.83322,0.0276677,-538.729
12.1778,-1.83412,0.0274874,-538.682
12.1772,-1.83501,0.0273399,-538.518
12.1765,-1.8358,0.0269537,-538.596
12.1759,-1.83661,0.026843,-538.315
12.1752,-1.83732,0.0267485,-538.393
12.1653,-1.83802,0.0266035,-538.018
12.1545,-1.83867,0.0265535,-538.143
12.1554,-1.83924,0.0262458,-537.768
12.1561,-1.83984,0.0261561,-537.799
12.1451,-1.84031,0.0260158,-537.596
12.1463,-1.84087,0.0258736,-537.549
12.1473,-1.84125,0.0258298,-537.518
12.135,-1.84161,0.0258672,-537.268
12.1365,-1.84194,0.0259167,-537.182
12.1378,-1.84218,0.025968,-537.096
12.1389,-1.84242,0.026009,-537.049
12.1398,-1.84263,0.0260548,-536.752
12.1263,-1.8427,0.0260774,-536.635
12.1278,-1.8428,0.026115,-536.252
12.1291,-1.84273,0.0261588,-536.502
12.1302,-1.84281,0.0261867,-536.213
12.1311,-1.84268,0.0276936,-536.135
12.1164,-1.84268,0.0296123,-536.213
12.118,-1.84254,0.0316058,-535.831
12.1193,-1.84241,0.0336608,-535.752
12.1204,-1.84288,0.03572,-535.916
12.1214,-1.8434,0.0378808,-535.62
12.1052,-1.84379,0.0399909,-535.963
12.1069,-1.84418,0.0419821,-535.331
12.1083,-1.8446,0.0437863,-535.331
12.1095,-1.84488,0.045541,-535.12
12.1105,-1.84513,0.0472257,-535.252
12.1114,-1.84537,0.0483909,-534.823
12.094,-1.84557,0.0498602,-534.573
12.0955,-1.84563,0.0506626,-534.534
12.0969,-1.84569,0.0511605,-534.401
12.098,-1.84577,0.0512668,-534.448
12.099,-1.84591,0.0510377,-534.448
12.0997,-1.84591,0.0504746,-534.237
12.1003,-1.84587,0.0495946,-534.323
12.0826,-1.84586,0.0483684,-534.073
12.0838,-1.84579,0.0469527,-534.151
12.0849,-1.84564,0.0454175,-533.768
12.0858,-1.84539,0.0456327,-533.651
12.0865,-1.84514,0.0461057,-533.604
12.0871,-1.84487,0.0462255,-533.354
12.0876,-1.84454,0.0458068,-533.518
12.0694,-1.84415,0.0448841,-533.237
12.0706,-1.84385,0.0432191,-532.94
12.0716,-1.84341,0.041099,-532.604
12.0725,-1.84315,0.0386114,-532.385
12.0732,-1.84266,0.0359092,-532.557
12.0737,-1.84207,0.0373545,-532.354
12.055,-1.84149,0.0385524,-532.135
12.0562,-1.84093,0.0399273,-531.807
12.0572,-1.84032,0.0398992,-531.854
12.0581,-1.83967,0.0400215,-531.674
12.0588,-1.839,0.0397667,-531.635
12.0594,-1.83878,0.0391331,-531.252
12.0598,-1.8386,0.0381459,-531.854
12.0408,-1.83846,0.0388749,-531.424
12.0419,-1.83831,0.0408727,-531.557
12.0428,-1.838,0.0428055,-531.252
12.0434,-1.83766,0.044714,-531.338
12.0438,-1.83736,0.0466071,-531.088
12.044,-1.83712,0.0483098,-531.057
12.0441,-1.8367,0.0501368,-530.838
12.026,-1.83619,0.0517119,-530.541
12.0264,-1.83576,0.0534103,-530.674
12.0267,-1.83549,0.0549871,-530.424
12.0268,-1.83505,0.0563971,-530.424
12.0268,-1.83469,0.0578942,-530.588
12.0092,-1.83432,0.0593295,-530.174
12.0097,-1.83393,0.0607082,-530.924
12.01,-1.83352,0.0620163,-530.588
12.0102,-1.83304,0.0631417,-530.338
12.0101,-1.83253,0.064365,-530.502
12.01,-1.83199,0.0653837,-530.456
11.9929,-1.83142,0.0664896,-530.377
11.9926,-1.83086,0.0675405,-530.041
11.9923,-1.83037,0.0685239,-530.127
11.992,-1.82976,0.0694714,-530.127
11.9917,-1.82923,0.0703541,-530.088
11.9914,-1.8286,0.0712041,-530.002
11.9911,-1.82809,0.0718178,-530.206
11.9908,-1.8274,0.0724704,-529.924
11.9905,-1.82682,0.073186,-529.62
11.9902,-1.82626,0.073889,-529.206
11.9899,-1.82561,0.0745464,-529.409
11.9896,-1.82484,0.0751817,-529.291
11.9893,-1.82404,0.0756531,-529.245
11.9891,-1.82326,0.0761956,-528.573
11.9889,-1.8228,0.0767204,-528.69
11.9886,-1.82233,0.077199,-528.659
11.9884,-1.82188,0.0774816,-528.612
11.9882,-1.82156,0.0777128,-528.526
11.988,-1.82109,0.0778954,-528.276
11.9878,-1.82063,0.0778212,-528.19
11.9875,-1.82009,0.0777932,-528.276
11.9873,-1.81963,0.0775421,-528.026
11.987,-1.81903,0.07735,-527.94
11.9871,-1.81841,0.0771783,-527.815
11.9875,-1.81773,0.0758411,-527.815
11.988,-1.81713,0.0748074,-527.729
11.9884,-1.81643,0.0753123,-527.776
11.9889,-1.81582,0.0727538,-527.44
11.9893,-1.8151,0.0736131,-527.612
11.9897,-1.81435,0.0744502,-527.393
11.9902,-1.81364,0.0757089,-526.979
11.9906,-1.81299,0.0773999,-526.682
11.991,-1.81226,0.0794478,-526.432
11.9914,-1.81162,0.0817597,-526.807
11.9918,-1.81076,0.0847914,-526.807
11.9921,-1.81005,0.0867187,-526.76
11.9925,-1.80925,0.0887348,-526.479
11.9928,-1.80855,0.0903842,-526.807
11.9932,-1.80786,0.0915513,-526.307
11.9935,-1.80709,0.0921974,-526.729
11.9938,-1.80635,0.0923312,-526.557
11.9941,-1.80567,0.0918983,-526.432
11.9944,-1.80494,0.0909726,-526.479
11.9947,-1.8042,0.089566,-526.26
11.9949,-1.80337,0.0877309,-526.229
11.9952,-1.80257,0.0837162,-526.174
11.9954,-1.80175,0.0845081,-526.143
11.9956,-1.80096,0.0836255,-525.596
11.9958,-1.80037,0.083243,-525.627
11.9959,-1.79968,0.0833379,-525.299
11.9959,-1.79905,0.084047,-525.127
11.9958,-1.7983,0.0851612,-524.791
11.9956,-1.79757,0.086665,-524.791
11.9954,-1.79683,0.0885427,-525.174
11.9951,-1.79618,0.0907207,-525.549
11.9947,-1.79558,0.0931811,-524.831
11.9942,-1.79498,0.0958649,-525.01
11.9937,-1.79445,0.0986856,-524.666
11.993,-1.79396,0.101683,-525.049
11.9923,-1.79326,0.104765,-524.791
